id,cve_id,commit_url,project_name,commit_id,repo_url
6828,CVE-2020-6637,https://github.com/OS4ED/openSIS-Responsive-Design/commit/1127ae0bb7c3a2883febeabc6b71ad8d73510de8,openSIS-Responsive-Design,1127ae0bb7c3a2883febeabc6b71ad8d73510de8,https://github.com//OS4ED/openSIS-Responsive-Design
6829,CVE-2020-6836,https://github.com/handsontable/formula-parser/commit/396b089738d4bf30eb570a4fe6a188affa95cd5e,formula-parser,396b089738d4bf30eb570a4fe6a188affa95cd5e,https://github.com//handsontable/formula-parser
6830,CVE-2020-6859,https://github.com/ultimatemember/ultimatemember/commit/249682559012734a4f7d71f52609b2f301ea55b1,ultimatemember,249682559012734a4f7d71f52609b2f301ea55b1,https://github.com//ultimatemember/ultimatemember
6831,CVE-2020-6950,https://github.com/eclipse-ee4j/mojarra/commit/cefbb9447e7be560e59da2da6bd7cb93776f7741,mojarra,cefbb9447e7be560e59da2da6bd7cb93776f7741,https://github.com//eclipse-ee4j/mojarra
6832,CVE-2020-7041,https://github.com/adrienverge/openfortivpn/commit/cd9368c6a1b4ef91d77bb3fdbe2e5bc34aa6f4c4,openfortivpn,cd9368c6a1b4ef91d77bb3fdbe2e5bc34aa6f4c4,https://github.com//adrienverge/openfortivpn
6833,CVE-2020-7041,https://github.com/adrienverge/openfortivpn/commit/60660e00b80bad0fadcf39aee86f6f8756c94f91,openfortivpn,60660e00b80bad0fadcf39aee86f6f8756c94f91,https://github.com//adrienverge/openfortivpn
6834,CVE-2020-7042,https://github.com/adrienverge/openfortivpn/commit/cd9368c6a1b4ef91d77bb3fdbe2e5bc34aa6f4c4,openfortivpn,cd9368c6a1b4ef91d77bb3fdbe2e5bc34aa6f4c4,https://github.com//adrienverge/openfortivpn
6835,CVE-2020-7042,https://github.com/adrienverge/openfortivpn/commit/9eee997d599a89492281fc7ffdd79d88cd61afc3,openfortivpn,9eee997d599a89492281fc7ffdd79d88cd61afc3,https://github.com//adrienverge/openfortivpn
6836,CVE-2020-7043,https://github.com/adrienverge/openfortivpn/commit/cd9368c6a1b4ef91d77bb3fdbe2e5bc34aa6f4c4,openfortivpn,cd9368c6a1b4ef91d77bb3fdbe2e5bc34aa6f4c4,https://github.com//adrienverge/openfortivpn
6837,CVE-2020-7043,https://github.com/adrienverge/openfortivpn/commit/6328a070ddaab16faaf008cb9a8a62439c30f2a8,openfortivpn,6328a070ddaab16faaf008cb9a8a62439c30f2a8,https://github.com//adrienverge/openfortivpn
6838,CVE-2020-7206,https://github.com/HewlettPackard/nagios-plugins-hpilo/commit/7617b2736a95c7f354198f092febe37e7005c677,nagios-plugins-hpilo,7617b2736a95c7f354198f092febe37e7005c677,https://github.com//HewlettPackard/nagios-plugins-hpilo
6839,CVE-2020-7212,https://github.com/urllib3/urllib3/commit/a74c9cfbaed9f811e7563cfc3dce894928e0221a,urllib3,a74c9cfbaed9f811e7563cfc3dce894928e0221a,https://github.com//urllib3/urllib3
6840,CVE-2020-7221,https://github.com/MariaDB/server/commit/9d18b6246755472c8324bf3e20e234e08ac45618,server,9d18b6246755472c8324bf3e20e234e08ac45618,https://github.com//MariaDB/server
6841,CVE-2020-7226,https://github.com/apereo/cas/commit/93b1c3e9d90e36a19d0fa0f6efb863c6f0235e75,cas,93b1c3e9d90e36a19d0fa0f6efb863c6f0235e75,https://github.com//apereo/cas
6842,CVE-2020-7226,https://github.com/apereo/cas/commit/8810f2b6c71d73341d4dde6b09a18eb46cfd6d45,cas,8810f2b6c71d73341d4dde6b09a18eb46cfd6d45,https://github.com//apereo/cas
6843,CVE-2020-7226,https://github.com/apereo/cas/commit/a042808d6adbbf44753d52c55cac5f533e24101f,cas,a042808d6adbbf44753d52c55cac5f533e24101f,https://github.com//apereo/cas
6844,CVE-2020-7247,https://github.com/openbsd/src/commit/9dcfda045474d8903224d175907bfc29761dcb45,src,9dcfda045474d8903224d175907bfc29761dcb45,https://github.com//openbsd/src
6845,CVE-2020-7471,https://github.com/django/django/commit/eb31d845323618d688ad429479c6dda973056136,django,eb31d845323618d688ad429479c6dda973056136,https://github.com//django/django
6846,CVE-2020-7597,https://github.com/codecov/codecov-node/commit/02cf13d8b93ac547b5b4c2cfe186b7d874fd234f,codecov-node,02cf13d8b93ac547b5b4c2cfe186b7d874fd234f,https://github.com//codecov/codecov-node
