Length of author name,Length of author email,Length of commit message,Number of tokens in commit message
4,24,48,6
13,24,42,6
14,22,6,1
13,24,31,3
4,24,68,11
4,24,24,3
4,24,8,1
4,24,59,10
4,24,182,30
4,24,6,1
4,24,77,13
13,24,60,9
4,24,19,2
14,22,6,1
4,24,219,42
4,24,9,1
4,24,21,2
4,24,76,14
14,22,45,6
4,24,62,11
14,22,172,35
4,24,75,12
4,24,71,10
4,24,8,1
4,24,20,2
13,24,226,48
4,24,97,16
13,24,67,11
4,24,31,3
14,22,6,1
4,24,25,3
4,24,67,8
14,22,6,1
4,24,85,11
4,24,41,8
4,24,65,10
14,22,166,34
13,24,127,18
14,22,15,2
4,24,34,3
4,24,53,8
4,24,9,2
14,22,6,1
14,22,5,1
14,22,36,9
4,24,66,12
4,24,21,2
4,24,209,39
13,24,80,14
4,24,110,18
4,24,42,6
14,22,156,31
4,24,7,1
4,24,46,5
4,24,27,4
4,24,27,4
4,24,12,2
14,22,20,3
14,22,338,67
14,22,240,44
14,22,58,9
4,24,8,2
13,24,33,5
14,22,179,26
4,24,57,9
14,22,33,5
4,24,70,11
14,22,14,2
14,22,10,1
14,22,95,17
13,24,242,42
14,22,28,3
4,24,33,3
4,24,59,7
14,22,14,2
4,24,23,3
4,24,6,1
14,22,15,2
14,22,157,17
14,22,140,17
4,24,7,1
14,22,151,30
14,22,41,8
14,22,132,26
4,24,29,4
14,22,107,19
14,22,117,20
4,24,103,12
4,24,50,8
14,22,344,54
14,22,30,5
14,22,6,1
14,22,6,1
4,24,50,10
14,22,15,2
14,22,15,2
4,24,31,4
14,22,306,61
4,24,44,6
13,24,53,9
4,24,38,6
4,24,281,50
4,24,44,5
14,22,28,5
13,24,23,2
14,22,66,11
4,24,36,5
13,24,62,9
14,22,23,2
13,24,9,2
14,22,49,12
4,24,114,19
4,24,467,96
14,22,6,1
4,24,43,7
14,22,86,16
14,22,31,5
4,24,59,9
14,22,6,1
4,24,8,1
14,22,37,6
14,22,61,10
4,24,8,1
14,22,51,9
13,24,163,32
14,22,52,9
4,24,99,15
14,22,376,71
4,24,36,5
14,22,6,1
4,24,86,14
14,22,15,2
4,24,19,4
14,22,125,22
4,24,46,7
4,24,8,1
14,22,89,19
4,24,555,108
4,24,22,2
14,22,19,3
4,24,22,3
4,24,31,5
13,24,259,48
4,24,21,3
14,22,26,4
4,24,24,4
14,22,34,6
4,24,51,7
13,24,32,6
4,24,49,11
14,22,24,3
14,22,275,48
14,22,23,4
14,22,61,11
14,22,36,3
14,22,122,20
4,24,36,3
4,24,32,5
4,24,23,3
14,22,14,2
4,24,36,5
4,24,68,12
4,24,41,5
14,22,43,5
14,22,325,55
4,24,65,10
4,24,57,17
4,24,109,19
4,24,37,5
4,24,15,3
4,24,19,3
14,22,33,6
13,17,59,13
12,14,157,27
13,14,17,3
14,17,38,7
13,17,25,5
13,17,9,2
12,18,27,4
13,14,15,3
13,14,50,8
13,14,5,1
12,33,570,101
13,14,34,6
13,14,14,3
13,14,68,9
19,19,25,5
13,14,51,7
13,14,38,6
14,17,50,7
13,17,45,7
13,17,40,6
12,33,168,23
19,19,3,1
19,19,8,1
17,46,792,150
13,14,42,4
13,14,50,8
13,18,60,9
13,14,50,9
14,20,39,6
12,21,74,17
14,20,66,13
11,15,41,7
14,20,25,4
14,23,20,7
11,15,51,7
14,20,35,6
10,22,46,9
14,20,47,6
14,23,26,3
14,25,14,2
12,21,46,10
12,21,23,3
13,17,468,66
5,13,14,2
5,13,17,4
14,32,59,13
14,32,62,10
14,22,14,3
14,18,44,7
7,27,58,11
10,19,88,14
10,19,46,10
10,19,57,9
14,48,27,5
10,19,142,25
14,48,17,4
14,48,31,5
10,19,110,19
10,19,35,6
10,19,7,1
10,19,16,3
10,19,58,10
10,19,56,10
10,19,82,13
5,23,143,27
14,48,32,6
14,48,16,3
10,19,18,3
12,37,76,14
11,37,22,3
12,37,77,13
11,37,67,11
15,30,15,3
12,37,25,3
15,20,20,3
11,37,97,17
13,16,79,18
12,37,45,11
11,37,109,21
12,37,25,3
11,30,225,44
13,22,25,3
11,32,247,39
2,30,332,66
11,32,142,22
12,37,60,13
12,37,18,3
11,37,178,31
11,37,32,5
13,16,154,25
11,37,136,26
11,37,144,25
12,37,23,3
11,37,62,10
12,37,19,3
11,30,114,18
11,37,48,11
12,37,147,19
12,37,140,23
9,17,38,6
12,37,19,3
11,37,54,9
12,37,42,8
12,37,19,3
11,37,44,7
11,30,40,5
11,37,26,6
11,37,17,3
11,37,81,12
12,37,17,2
11,32,49,8
9,17,18,3
11,37,53,9
11,37,35,5
12,37,43,7
11,37,49,7
11,37,46,7
11,30,74,17
12,37,51,10
11,37,28,6
11,37,51,8
12,37,29,4
11,37,107,23
12,37,42,7
11,37,30,4
11,37,139,29
11,37,45,11
11,30,68,8
12,37,38,5
11,30,557,96
12,37,83,16
13,16,333,59
11,37,28,4
11,37,57,9
11,37,36,2
12,37,129,23
11,30,159,33
13,18,47,7
13,22,102,13
12,37,19,4
15,30,107,22
12,37,200,33
11,37,88,11
12,37,35,5
11,37,43,6
15,20,100,20
12,37,16,2
11,32,14,2
11,37,36,6
11,32,219,37
12,37,28,4
11,37,73,14
14,18,151,30
11,37,291,28
12,37,180,26
12,37,34,5
11,30,33,6
11,30,43,7
11,37,50,7
12,37,55,9
11,37,12,1
12,37,32,4
11,32,116,20
12,37,91,14
11,37,21,4
14,16,41,7
11,37,59,11
15,24,32,6
11,37,116,17
11,37,14,2
12,24,45,6
7,21,108,18
12,37,33,5
11,37,73,10
